"處理時間","報表類型","動作","原始路徑","目標路徑","統計開始日","統計結束日","產出時間","檔案大小","結果","備註"
2026-09-11 11:42:53,跨平台關注群組數量報表,歸檔,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\跨平台關注群組數量報表_統計20260901-20260909_產出20260910_120849.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年09月\跨平台關注群組數量報表_統計20260901-20260909_產出20260910_120849.png,20260901,20260909,20260910_120849,966734,成功,
2026-09-11 11:42:53,跨平台關注群組數量報表,輸出,D:\Projects\python_dev\ec-data-pipeline\data_processed\reports\platform_orders_focus_groups\12_focus_groups_quantity_report_20260901-20260910_20260911_114251.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\跨平台關注群組數量報表_統計20260901-20260910_產出20260911_114251.png,20260901,20260910,20260911_114251,955496,成功,已驗證 PNG 並放入 LINE 待發區
2026-09-11 12:12:05,跨平台關注群組數量報表,歸檔,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\跨平台關注群組數量報表_統計20260901-20260910_產出20260911_114251.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年09月\跨平台關注群組數量報表_統計20260901-20260910_產出20260911_114251.png,20260901,20260910,20260911_114251,955496,成功,
2026-09-11 12:12:05,跨平台關注群組數量報表,輸出,D:\Projects\python_dev\ec-data-pipeline\data_processed\reports\platform_orders_focus_groups\12_focus_groups_quantity_report_20260901-20260910_20260911_121202.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\跨平台關注群組數量報表_統計20260901-20260910_產出20260911_121202.png,20260901,20260910,20260911_121202,955333,成功,已驗證 PNG 並放入 LINE 待發區
2026-09-11 16:09:43,店家訂單數日報,歸檔,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260911_111200.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年09月\店家訂單數日報_統計20260901-20260930_產出20260911_111200.png,20260901,20260930,20260911_111200,401426,成功,
2026-09-11 16:09:43,店家訂單數日報,輸出,output\店家訂單數日報_統計20260901-20260930_產出20260911_160942.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260911_160942.png,20260901,20260930,20260911_160942,402652,成功,已驗證 PNG 並放入 LINE 待發區
2026-09-11 17:34:59,店家訂單數日報,歸檔,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260911_160942.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年09月\店家訂單數日報_統計20260901-20260930_產出20260911_160942.png,20260901,20260930,20260911_160942,402652,成功,
2026-09-11 17:34:59,店家訂單數日報,輸出,output\店家訂單數日報_統計20260901-20260930_產出20260911_173459.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260911_173459.png,20260901,20260930,20260911_173459,402064,成功,已驗證 PNG 並放入 LINE 待發區
2026-09-14 10:33:59,店家訂單數日報,歸檔,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260911_173459.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年09月\店家訂單數日報_統計20260901-20260930_產出20260911_173459.png,20260901,20260930,20260911_173459,402064,成功,
2026-09-14 10:33:59,店家訂單數日報,輸出,output\店家訂單數日報_統計20260901-20260930_產出20260914_103358.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260914_103358.png,20260901,20260930,20260914_103358,413351,成功,已驗證 PNG 並放入 LINE 待發區
2026-09-14 11:17:16,跨平台關注群組數量報表,歸檔,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\跨平台關注群組數量報表_統計20260901-20260910_產出20260911_121202.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年09月\跨平台關注群組數量報表_統計20260901-20260910_產出20260911_121202.png,20260901,20260910,20260911_121202,955333,成功,
2026-09-14 11:17:16,跨平台關注群組數量報表,輸出,D:\Projects\python_dev\ec-data-pipeline\data_processed\reports\platform_orders_focus_groups\12_focus_groups_quantity_report_20260901-20260913_20260914_111714.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\跨平台關注群組數量報表_統計20260901-20260913_產出20260914_111714.png,20260901,20260913,20260914_111714,965967,成功,已驗證 PNG 並放入 LINE 待發區
2026-09-14 16:02:25,店家訂單數日報,歸檔,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260914_103358.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年09月\店家訂單數日報_統計20260901-20260930_產出20260914_103358.png,20260901,20260930,20260914_103358,413351,成功,
2026-09-14 16:02:25,店家訂單數日報,輸出,output\店家訂單數日報_統計20260901-20260930_產出20260914_160224.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260914_160224.png,20260901,20260930,20260914_160224,413238,成功,已驗證 PNG 並放入 LINE 待發區
2026-09-15 10:42:14,店家訂單數日報,歸檔,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\00_LINE待發\店家訂單數日報_統計20260901-20260930_產出20260914_160224.png,\\Ycpl-server\a02_電商部\03_平台管理\Online_Platform_Data\01_Shopee\04_Report_Output\png\01_LINE已發歸檔\2026年09月\店家訂單數日報_統計20260901-20260930_產出20260914_160224.png,20260901,20260930,20260914_160224,413238,成功,
